"Dish Name,States (Commonly Found In),Area Type (Rural/Urban/Both),Diet Type,Income Range (Commonly Consumed By)"
"Hot tea (Garam Chai),All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L;>6L"
"Instant coffee,Tamil Nadu;Karnataka;Kerala;Delhi;Maharashtra,urban,Vegetarian,3-6L;>6L"
"Espreso coffee,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Iced tea,Delhi;Mumbai;Bengaluru;Kolkata;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Raw mango drink (Aam panna),Maharashtra;Gujarat;Rajasthan;Uttar Pradesh;Madhya Pradesh,both,Vegetarian,<1L;1-3L;3-6L"
"Fruit Punch (with fresh juices),Delhi;Mumbai;Pune;Bengaluru;Goa,urban,Vegetarian,3-6L;>6L"
"Fruit Punch (with squashes),Delhi;Maharashtra;Karnataka;Goa;Tamil Nadu,urban,Vegetarian,3-6L;>6L"
"Lemonade,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L;>6L"
"Lem-o-gin,Delhi;Mumbai;Goa;Bengaluru;Hyderabad,urban,Vegetarian,>6L"
"Cumin infused water (Jeere/Zeere ka pani),Rajasthan;Gujarat;Madhya Pradesh;Uttar Pradesh;Maharashtra,rural,Vegetarian,<1L;1-3L"
"Coco pine cooler,Goa;Kerala;Maharashtra;Tamil Nadu;Karnataka,urban,Vegetarian,3-6L;>6L"
"Summer cooler,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Hot cocoa,Delhi;Mumbai;Bengaluru;Hyderabad;Pune,urban,Vegetarian,3-6L;>6L"
"Cold coffee with ice cream,Delhi;Mumbai;Pune;Bengaluru;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Banana milkshake (Kele milkshake),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mango milkshake (Aam milkshake),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Pineapple milkshake (Ananas milkshake),Kerala;Goa;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,1-3L;3-6L"
